city_name;latitude;longitude;department_name;department_number;region_name;region_number;region_name_raw;city_name_raw;city_population
ville du pont;46.999873398;6.498147193;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Ville-du-Pont;329
villers grelot;47.361512085;6.235167025;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Villers-Grélot;144
villars les blamont;47.368383721;6.871414913;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Villars-lès-Blamont;458
les villedieu;46.713906258;6.26583065;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Les Villedieu;210
villers buzon;47.228558434;5.852186748;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Villers-Buzon;277
villers la combe;47.240809828;6.473842387;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Villers-la-Combe;50
villers sous chalamont;46.901588322;6.045328224;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Villers-sous-Chalamont;296
voujeaucourt;47.473552905;6.782505604;doubs;25;bourgogne-franche-comté;27;Bourgogne-Franche-Comté;Voujeaucourt;3130
bouconville vauclair;49.460193485;3.756684634;aisne;02;hauts-de-france;32;Hauts-de-France;Bouconville-Vauclair;186
bouresches;49.067056293;3.316703204;aisne;02;hauts-de-france;32;Hauts-de-France;Bouresches;190
brissy hamegicourt;49.742857871;3.399923608;aisne;02;hauts-de-france;32;Hauts-de-France;Brissy-Hamégicourt;653
brumetz;49.110351585;3.153350725;aisne;02;hauts-de-france;32;Hauts-de-France;Brumetz;181
brunehamel;49.771382057;4.186261479;aisne;02;hauts-de-france;32;Hauts-de-France;Brunehamel;453
bucy le long;49.387973822;3.398519722;aisne;02;hauts-de-france;32;Hauts-de-France;Bucy-le-Long;1882
caillouel crepigny;49.617755672;3.121707969;aisne;02;hauts-de-france;32;Hauts-de-France;Caillouël-Crépigny;453
camelin;49.52049848;3.127624347;aisne;02;hauts-de-france;32;Hauts-de-France;Camelin;447
cerny en laonnois;49.450196586;3.679121433;aisne;02;hauts-de-france;32;Hauts-de-France;Cerny-en-Laonnois;62
chambry;49.598625529;3.671806573;aisne;02;hauts-de-france;32;Hauts-de-France;Chambry;832
chaourse;49.70058224;3.985961293;aisne;02;hauts-de-france;32;Hauts-de-France;Chaourse;512
charmes;49.650915124;3.384799677;aisne;02;hauts-de-france;32;Hauts-de-France;Charmes;1624
chaudun;49.315257363;3.252722944;aisne;02;hauts-de-france;32;Hauts-de-France;Chaudun;251
chauny;49.619538899;3.219139283;aisne;02;hauts-de-france;32;Hauts-de-France;Chauny;11496
chezy en orxois;49.126870891;3.168015889;aisne;02;hauts-de-france;32;Hauts-de-France;Chézy-en-Orxois;380
